FIRM,ASSETS TENDERS,FUEL TENDERS,EVENT TENDERS,TENANCY TENDERS,FOOD TENDERS,CONSTRUCTION TENDERS,ADVERTISEMENT TENDERS,SERVICES TENDERS,CONSUMABLES EDUCATION TENDERS,CONSUMABLES GENERAL TENDERS,CONSUMABLES HEALTH TENDERS,TRANSPORTATION TENDERS
COM_30697,1,0,0,0,0,0,0,69,0,0,0,0
COM_31533,16,0,1,0,59,0,5,21,3,13,0,0
COM_31958,12,0,23,2,0,3,0,72,0,0,0,0
COM_36947,1,0,1,0,0,45,0,36,0,2,0,0
COM_28278,0,0,1,0,0,0,42,38,0,2,0,0
COM_43205,0,0,0,0,0,0,9,5,0,0,0,0
COM_32464,5,0,0,1,0,24,0,30,0,0,0,0
COM_29201,0,28,0,0,0,0,0,0,0,1,0,0
COM_31061,5,0,0,0,0,0,0,10,0,0,0,0
COM_28978,14,0,1,2,0,0,0,29,0,11,30,0
COM_29202,1,0,0,0,0,0,2,16,0,0,0,0
COM_28930,0,0,0,0,1,0,0,13,69,4,0,0
COM_34318,0,0,0,0,5,0,0,8,0,0,0,0
COM_25293,2,0,46,0,0,0,0,76,0,0,0,0
COM_25663,0,0,36,0,0,0,0,27,0,0,0,0
COM_26180,1,0,38,0,0,0,0,63,0,0,0,0
COM_26411,1,0,9,0,0,0,0,26,0,0,0,0
COM_27821,1,0,59,0,0,0,0,60,0,0,0,0
COM_27968,1,0,26,3,0,0,0,79,0,0,0,0
COM_28064,0,0,21,0,1,0,0,52,0,0,0,0
COM_29682,0,0,54,0,0,0,0,96,0,0,0,0
COM_32162,0,0,25,0,0,0,0,64,0,0,0,0
COM_32254,0,0,11,0,0,0,0,34,0,0,0,0
COM_32669,8,0,8,1,3,0,0,49,0,0,0,0
COM_32801,16,0,42,6,1,8,1,117,0,0,0,0
COM_32916,0,0,26,0,0,0,0,38,0,0,0,0
COM_33822,0,0,19,2,0,0,0,36,0,0,0,0
COM_26321,1,0,0,0,0,0,0,0,0,6,1,0
COM_26504,19,0,0,0,0,0,0,1,0,3,4,0
COM_26527,42,0,0,33,0,2,0,51,0,26,20,0
COM_36847,41,0,1,0,0,0,0,2,0,3,6,0
COM_37163,26,0,0,0,0,0,0,2,0,3,5,0
COM_30043,15,1,0,2,0,0,0,28,0,1,0,0
COM_30055,11,0,1,7,0,7,0,45,0,1,0,0
COM_30882,12,0,4,3,0,21,0,61,0,2,0,0
COM_30994,4,0,0,1,0,7,0,15,0,0,0,0
COM_32467,14,0,1,3,0,12,0,42,0,0,0,0
COM_33248,2,0,1,1,0,21,0,29,0,0,0,0
COM_48718,6,0,1,1,0,0,0,15,0,0,0,0
COM_32401,6,0,2,0,10,3,1,19,12,14,0,0
COM_34120,3,0,0,0,3,1,0,5,6,5,0,0
COM_48126,12,2,1,1,4,0,0,11,0,11,0,0
COM_26893,2,0,0,0,0,11,0,2,0,4,0,0
COM_25339,1,0,0,0,0,17,0,24,0,0,0,0
COM_37248,2,1,8,0,0,78,0,69,0,1,0,0
COM_29220,2,0,3,2,0,3,0,20,0,0,0,0
COM_30132,9,0,0,3,0,0,0,23,0,0,0,0
COM_31956,22,0,0,5,0,0,0,52,0,1,0,0
COM_41179,12,0,0,3,0,0,0,23,0,0,0,0
COM_30980,40,0,2,1,53,12,0,28,5,25,0,0
COM_33393,7,14,0,0,0,0,0,1,0,1,0,0
COM_26770,0,0,1,0,0,0,53,31,0,0,0,0
COM_40675,0,0,0,0,0,0,22,19,2,1,0,0
COM_29253,5,0,0,3,0,22,1,43,0,0,0,0
COM_29913,6,0,1,1,0,24,0,60,1,0,0,0
COM_29930,4,1,0,0,0,121,0,148,0,1,0,0
COM_30802,5,0,0,2,0,1,0,13,0,1,0,0
COM_31550,26,0,1,0,18,8,2,36,3,17,1,0
COM_32732,3,0,0,0,0,0,0,9,0,1,0,0
COM_32733,5,0,0,2,0,1,0,24,0,0,0,0
COM_33092,19,0,5,1,20,5,14,64,3,28,0,0
COM_33249,20,0,1,3,0,13,0,43,0,2,0,0
COM_33526,6,0,1,2,0,18,0,41,0,1,0,0
COM_40916,14,0,44,2,5,3,8,142,1,8,0,0
COM_44385,15,0,51,0,2,13,6,130,0,1,0,0
COM_27866,0,0,0,0,0,27,0,2,0,0,0,0
COM_27952,0,0,1,0,0,48,0,4,0,0,0,0
COM_31108,0,0,0,0,0,11,0,11,0,0,0,0
COM_33711,0,0,1,0,0,61,0,44,0,0,0,0
COM_32711,8,0,2,0,2,0,0,11,2,16,0,0
COM_30493,9,0,0,0,0,0,0,19,0,0,0,0
COM_30460,7,0,0,0,0,0,0,7,0,8,0,0
COM_29874,1,0,0,0,0,35,0,39,0,0,0,0
COM_29977,1,0,1,0,0,6,0,32,0,0,0,0
COM_25527,6,0,0,0,99,0,0,7,0,23,0,0
COM_28669,16,0,0,0,71,0,1,10,3,39,1,0
COM_29719,21,0,3,0,84,1,0,16,1,25,0,0
COM_32200,31,0,0,0,90,1,1,14,5,26,0,0
COM_48016,32,0,0,0,32,0,1,11,3,11,0,0
COM_48084,5,0,2,0,28,0,1,6,0,12,0,0
COM_27298,0,0,0,0,27,0,0,1,0,0,0,0
COM_30685,0,0,1,0,0,0,0,13,0,0,0,0
COM_33395,14,0,1,5,0,18,0,48,0,0,0,0
COM_27082,0,0,0,0,0,0,0,11,0,0,0,0
COM_30342,4,0,26,0,0,0,0,23,0,0,0,0
COM_32734,10,0,3,6,0,26,0,71,0,0,0,1
COM_34015,8,0,9,4,1,13,0,47,0,3,0,0
COM_37253,12,0,2,0,0,25,1,49,0,1,0,0
COM_27492,22,0,2,0,0,11,0,5,0,5,0,0
COM_28872,38,0,1,0,1,3,0,10,4,46,0,0
COM_30266,27,0,3,0,0,7,0,47,1,25,0,0
COM_33223,4,0,0,0,0,7,0,3,0,3,0,0
COM_29994,16,0,4,0,5,0,1,18,8,18,1,0
COM_33584,12,0,0,0,0,0,0,3,0,16,26,0
COM_32731,0,0,0,0,0,31,0,24,0,0,0,0
COM_22275,14,0,1,0,0,0,0,7,0,11,0,0
COM_26182,46,0,1,0,0,0,4,14,6,20,0,0
COM_36916,22,0,0,0,1,0,1,2,6,3,0,0
COM_28953,1,0,11,0,5,0,1,46,0,0,0,0
COM_32010,17,1,2,0,14,3,1,23,13,21,1,0
COM_32178,2,0,1,1,1,27,0,25,0,2,0,0
COM_48581,6,0,1,2,0,0,0,20,0,0,0,0
COM_48585,9,0,1,2,0,0,0,25,0,0,0,0
COM_31981,6,3,0,0,0,0,0,7,0,7,0,0
COM_25554,4,4,0,0,0,0,0,3,0,0,0,0
COM_30935,2,0,0,0,23,0,0,73,1,30,0,0
COM_32073,0,0,1,2,0,14,0,22,0,0,0,0
COM_26617,0,0,0,0,1,0,3,14,0,1,0,0
COM_31893,1,0,0,0,0,0,21,17,0,0,0,0
COM_25671,2,0,0,0,0,10,0,14,0,0,0,0
COM_29493,0,0,12,0,0,14,0,44,0,0,0,0
COM_31825,9,2,8,1,0,184,0,232,0,2,0,0
COM_32323,0,1,0,0,0,66,0,79,0,0,0,0
COM_32654,3,2,3,0,1,141,0,110,0,2,0,0
COM_34189,3,1,41,0,3,45,0,118,0,2,0,0
COM_48047,0,1,0,0,0,61,0,35,0,0,0,0
COM_26350,28,0,2,0,2,0,0,8,7,7,0,0
COM_30757,40,0,5,0,4,0,6,42,18,51,0,0
COM_31868,0,7,0,0,0,0,0,2,0,0,0,0
COM_36954,0,7,0,0,0,0,0,5,0,23,0,0
COM_26157,9,0,0,0,0,1,0,27,0,1,0,0
COM_26272,3,0,0,0,25,0,0,4,0,6,1,0
COM_40771,0,0,0,0,8,1,0,4,0,1,0,0
COM_29673,14,0,3,0,10,5,0,17,15,21,0,0
COM_34398,3,0,1,0,0,0,0,4,0,10,0,0
COM_30001,4,0,0,0,24,0,0,20,1,16,1,0
COM_31319,5,0,0,0,17,0,0,0,1,9,0,0
COM_36686,28,0,0,0,67,1,0,18,10,25,0,0
COM_30352,0,0,0,0,6,0,0,0,0,2,0,0
COM_32782,0,0,0,0,33,0,0,0,0,3,0,0
COM_28770,0,0,32,0,0,0,0,53,0,0,0,0
COM_32606,11,0,6,1,46,0,3,43,3,18,0,0
COM_33500,28,0,0,0,60,6,2,42,8,38,0,0
COM_33870,21,0,3,0,56,0,1,6,3,26,0,0
COM_31200,2,0,1,1,1,82,0,74,0,4,0,0
COM_33516,0,0,32,0,0,0,0,46,0,0,0,0
COM_25796,4,0,0,0,0,1,0,10,0,0,0,0
COM_27982,30,0,1,0,0,1,0,31,2,9,0,0
COM_30670,12,0,1,0,60,0,3,9,5,16,0,0
COM_27291,8,0,0,1,0,20,0,61,0,0,0,0
COM_28464,1,0,4,0,0,0,0,17,0,0,0,0
COM_29425,4,0,4,0,2,2,0,22,0,0,0,0
COM_29634,2,0,5,0,0,1,0,32,0,0,0,0
COM_29688,0,0,3,0,0,18,0,33,0,0,0,0
COM_29796,3,0,0,0,1,0,0,24,0,0,0,0
COM_30814,10,0,6,0,0,5,0,74,0,1,0,1
COM_30967,2,2,3,1,0,42,0,43,0,0,0,0
COM_31596,6,0,3,1,0,17,0,33,1,0,0,0
COM_31889,1,0,1,0,0,1,2,29,0,0,0,0
COM_32477,5,0,14,2,0,30,0,50,0,0,0,0
COM_33441,2,1,6,1,0,25,0,47,0,0,0,0
COM_34128,18,0,1,0,24,0,2,13,1,10,0,0
COM_34421,1,0,1,0,0,30,0,24,0,0,0,0
COM_41321,2,1,8,0,0,82,0,69,0,1,0,0
COM_48037,22,0,9,0,50,4,2,42,9,27,0,0
COM_48038,18,0,3,0,29,3,1,24,1,16,0,0
COM_25398,3,0,0,0,0,11,0,3,0,3,0,0
COM_28053,29,0,1,0,0,0,1,9,10,14,0,0
COM_33368,0,0,0,0,1,10,0,12,0,0,0,0
COM_25612,5,0,0,3,0,0,0,60,0,0,0,0
COM_28270,7,4,0,0,0,0,0,2,0,0,0,0
